Region,Destination_Name,Destination_Type,Total_Days,Total_Persons,Budget_Per_Person
North,Shimla,Desert,6,1,21447
West,Somnath,Adventure,11,7,44277
South,Alleppey,Desert,6,3,26043
West,Mount Abu,Hidden Gem,5,11,49418
Northeast,Dzukou Valley,Wildlife,10,1,20638
Central,Kanha National Park,Hidden Gem,5,9,40537
West,Jaisalmer,Trekking,14,7,17814
East,Puri,Hill Station,9,10,52654
North,Agra,Desert,7,10,52347
East,Darjeeling,Religious,4,3,27021
East,Kolkata,Adventure,8,3,26271
North,Shimla,Religious,8,4,26492
West,Rann of Kutch,Trekking,10,4,4405
West,Gir National Park,Urban/City,8,4,38007
Northeast,Dzukou Valley,Hidden Gem,8,12,3401
West,Somnath,Religious,14,4,55131
South,Goa,Wildlife,10,12,22419
East,Shillong,Hill Station,11,4,6951
North,Leh,Wildlife,4,4,57457
South,Ooty,Urban/City,6,4,54338
North,Nainital,Desert,2,1,13527
Northeast,Shillong Peak,Hill Station,13,10,15231
North,Agra,Beach,4,11,46574
Northeast,Tawang,Hidden Gem,13,8,49379
North,Rishikesh,Religious,15,4,51022
Central,Khajuraho,Historical,14,5,49075
Northeast,Ziro Valley,Wildlife,2,7,13115
South,Mysore,Hill Station,11,10,25888
East,Sundarbans,Trekking,13,8,30661
Northeast,Dzukou Valley,Religious,10,4,4122
South,Mysore,Desert,14,9,16890
East,Sundarbans,Wildlife,14,11,37687
East,Konark,Hidden Gem,15,12,30891
South,Kochi,Trekking,8,9,58926
North,Manali,Hidden Gem,6,4,13432
West,Dwarka,Religious,10,1,8152
Northeast,Cherrapunji,Beach,4,4,18438
North,Kullu,Adventure,6,12,24648
West,Dwarka,Hill Station,5,7,11089
Northeast,Ziro Valley,Adventure,9,1,12701
South,Goa,Religious,12,7,14862
North,Leh,Hill Station,13,3,40107
West,Rann of Kutch,Religious,2,10,21454
East,Guwahati,Hill Station,15,9,14244
North,Agra,Beach,15,12,49203
Central,Khajuraho,Beach,6,8,4184
South,Alleppey,Hill Station,9,9,50244
South,Mysore,Trekking,4,8,53288
Central,Khajuraho,Religious,5,7,57555
Northeast,Aizawl,Urban/City,11,10,46309
South,Goa,Hidden Gem,2,7,19268
Northeast,Dzukou Valley,Historical,12,4,7048
West,Jaisalmer,Historical,4,9,14858
Northeast,Ziro Valley,Hill Station,8,9,14174
Northeast,Ziro Valley,Desert,3,11,54229
South,Kochi,Beach,6,6,43605
South,Munnar,Hidden Gem,12,3,14548
Central,Bandhavgarh,Wildlife,4,9,20831
South,Pondicherry,Trekking,7,10,7884
Northeast,Ziro Valley,Trekking,7,9,34834
North,Shimla,Beach,2,11,35838
Central,Sanchi,Urban/City,15,4,25597
South,Goa,Beach,11,10,30941
Central,Kanha National Park,Beach,13,7,18319
West,Ahmedabad,Religious,10,1,43134
West,Mumbai,Wildlife,10,9,57759
Central,Pachmarhi,Hill Station,12,7,59716
Northeast,Imphal,Hidden Gem,3,11,24071
West,Mount Abu,Hidden Gem,11,11,8759
East,Konark,Trekking,2,9,4792
North,Shimla,Beach,11,12,48582
East,Sundarbans,Wildlife,2,4,8619
West,Ahmedabad,Wildlife,14,5,39752
North,Leh,Hill Station,2,6,15219
Central,Gwalior,Beach,10,9,51528
Northeast,Kaziranga,Urban/City,7,11,44790
South,Munnar,Historical,4,2,45871
South,Alleppey,Adventure,8,11,14462
Northeast,Shillong Peak,Desert,5,9,40909
Northeast,Shillong Peak,Beach,13,1,44849
Central,Bandhavgarh,Hill Station,10,4,3117
South,Alleppey,Religious,14,6,49105
West,Ahmedabad,Religious,10,8,31958
Northeast,Imphal,Hidden Gem,8,2,48931
South,Ooty,Desert,14,7,18869
East,Shillong,Beach,14,7,32068
South,Alleppey,Hill Station,6,9,28189
West,Ahmedabad,Wildlife,12,6,12743
East,Kolkata,Beach,6,3,48641
Central,Sanchi,Religious,14,5,57034
West,Dwarka,Wildlife,12,3,22866
Northeast,Aizawl,Adventure,6,6,10891
Central,Pachmarhi,Hill Station,3,6,32287
East,Kolkata,Hill Station,7,1,45273
Central,Indore,Trekking,7,2,29062
Northeast,Dzukou Valley,Wildlife,12,10,24409
North,Agra,Hill Station,15,7,31800
North,Leh,Wildlife,4,11,51742
West,Rann of Kutch,Urban/City,5,7,53919
Central,Sanchi,Hidden Gem,10,2,26832
East,Darjeeling,Wildlife,8,7,6987
Northeast,Shillong Peak,Wildlife,4,7,55258
Northeast,Dzukou Valley,Wildlife,6,12,6799
East,Bodh Gaya,Adventure,14,4,38531
East,Puri,Urban/City,7,4,19848
West,Somnath,Hill Station,13,11,23299
North,Jaipur,Urban/City,11,6,28760
East,Darjeeling,Beach,13,7,57127
South,Coorg,Desert,11,9,7741
West,Mount Abu,Trekking,7,8,40262
West,Ahmedabad,Desert,10,1,3734
North,Shimla,Wildlife,6,7,21502
East,Kolkata,Beach,12,12,39306
South,Hampi,Hidden Gem,9,3,11602
West,Mumbai,Urban/City,13,1,48695
North,Nainital,Urban/City,8,4,39199
South,Coorg,Religious,5,8,45139
East,Guwahati,Hidden Gem,11,9,7118
West,Rann of Kutch,Trekking,3,8,58298
Northeast,Tawang,Religious,4,9,34754
South,Ooty,Historical,8,7,41995
West,Gir National Park,Desert,13,1,49960
North,Agra,Wildlife,4,4,44697
Central,Bhopal,Hill Station,6,5,17898
East,Puri,Wildlife,2,3,47510
North,Leh,Adventure,3,5,38158
West,Mount Abu,Hidden Gem,6,12,45305
East,Shillong,Urban/City,8,7,42847
Northeast,Majuli,Historical,4,8,12685
North,Dalhousie,Urban/City,11,10,53361
Northeast,Imphal,Religious,14,12,50317
Northeast,Kaziranga,Historical,13,7,27026
West,Gir National Park,Wildlife,12,4,39452
North,Leh,Religious,11,2,44059
Central,Bhopal,Wildlife,6,4,17532
South,Coorg,Beach,7,7,23264
West,Jaisalmer,Wildlife,8,11,35348
South,Alleppey,Beach,11,12,25424
Central,Khajuraho,Hidden Gem,2,7,11866
North,Kullu,Religious,3,7,57536
Northeast,Shillong Peak,Hill Station,5,2,58424
Central,Sanchi,Adventure,2,5,59265
East,Konark,Hill Station,8,3,37073
North,Nainital,Adventure,6,4,12743
Northeast,Dzukou Valley,Religious,6,1,18389
West,Somnath,Trekking,5,12,54071
Central,Pachmarhi,Desert,13,3,23901
South,Alleppey,Historical,2,4,10283
Central,Khajuraho,Desert,15,1,17968
Central,Bhopal,Religious,3,8,17535
South,Pondicherry,Trekking,12,7,24008
Northeast,Cherrapunji,Religious,13,12,16608
East,Darjeeling,Adventure,15,10,40584
Central,Pachmarhi,Adventure,13,11,54776
West,Gir National Park,Urban/City,5,12,36410
Northeast,Dzukou Valley,Religious,13,3,14122
Central,Pachmarhi,Hill Station,13,11,20022
Central,Khajuraho,Hill Station,2,5,15442
East,Kolkata,Desert,15,5,14944
North,Nainital,Historical,13,12,50724
Northeast,Ziro Valley,Religious,8,3,25061
Central,Pachmarhi,Beach,8,4,59498
Northeast,Imphal,Hill Station,14,2,19314
Northeast,Shillong Peak,Hidden Gem,15,11,49689
North,Nainital,Wildlife,8,10,53360
South,Pondicherry,Beach,7,2,59328
West,Udaipur,Hidden Gem,5,3,42976
Central,Bandhavgarh,Wildlife,11,9,16608
South,Pondicherry,Urban/City,14,4,16198
East,Konark,Wildlife,8,8,16618
West,Gir National Park,Desert,7,6,12456
East,Kolkata,Historical,6,9,45871
South,Munnar,Religious,14,6,51690
South,Alleppey,Adventure,13,5,36635
Northeast,Dzukou Valley,Urban/City,14,8,53882
Northeast,Dzukou Valley,Urban/City,14,12,11874
Central,Indore,Desert,4,6,29689
West,Udaipur,Adventure,4,5,17360
West,Dwarka,Desert,9,12,57494
South,Kodaikanal,Hidden Gem,12,12,4518
West,Jaisalmer,Trekking,10,3,50805
West,Udaipur,Desert,6,8,15989
West,Ahmedabad,Adventure,8,8,24627
West,Gir National Park,Beach,10,2,22165
South,Coorg,Historical,4,2,20111
South,Mysore,Beach,4,3,30813
Northeast,Cherrapunji,Religious,9,10,54517
West,Gir National Park,Hill Station,7,10,56299
South,Alleppey,Hidden Gem,5,5,8093
South,Coorg,Beach,10,2,8421
Northeast,Kaziranga,Beach,13,12,4708
North,Agra,Desert,9,10,10663
West,Mumbai,Adventure,13,4,44209
North,Kullu,Hidden Gem,15,5,58992
South,Munnar,Historical,13,5,33228
North,Leh,Hill Station,6,9,43178
Northeast,Imphal,Hidden Gem,5,7,48735
North,Kullu,Religious,8,8,48410
Northeast,Imphal,Hill Station,11,11,25010
North,Jaipur,Wildlife,11,10,9688
South,Mysore,Adventure,10,7,25831
Central,Kanha National Park,Desert,12,12,3042
West,Udaipur,Religious,3,4,49528
South,Kodaikanal,Trekking,7,9,21565
West,Jaisalmer,Trekking,7,7,3087
West,Jaisalmer,Adventure,13,7,42335
North,Dalhousie,Beach,6,2,30385
Central,Indore,Hill Station,8,10,14734
East,Guwahati,Religious,10,1,24798
Northeast,Cherrapunji,Hill Station,9,6,52003
West,Dwarka,Desert,7,9,22261
North,Leh,Adventure,15,9,32870
West,Dwarka,Historical,8,11,12700
East,Shillong,Adventure,5,10,45303
Central,Bhopal,Urban/City,10,12,47789
Northeast,Imphal,Hidden Gem,13,12,58929
Northeast,Aizawl,Trekking,6,1,40034
North,Varanasi,Wildlife,8,9,15959
South,Munnar,Desert,6,2,56380
West,Udaipur,Adventure,4,8,8048
East,Kolkata,Wildlife,12,6,10703
East,Sundarbans,Desert,15,2,53885
North,Manali,Religious,13,10,5776
Central,Gwalior,Desert,9,10,4100
East,Kolkata,Urban/City,3,9,45735
North,Jaipur,Urban/City,12,5,19838
North,Varanasi,Beach,9,2,34761
Northeast,Ziro Valley,Hidden Gem,8,12,29927
Central,Bandhavgarh,Urban/City,8,9,38932
South,Mysore,Hill Station,12,1,19597
North,Kullu,Wildlife,12,6,47243
North,Rishikesh,Trekking,13,6,34242
South,Mysore,Trekking,2,2,31994
South,Pondicherry,Wildlife,6,4,20793
Central,Kanha National Park,Wildlife,10,8,46079
Northeast,Aizawl,Religious,7,2,21811
West,Rann of Kutch,Trekking,13,7,57891
South,Mysore,Urban/City,6,9,14192
East,Kolkata,Desert,12,4,20751
Northeast,Tawang,Urban/City,9,12,49617
North,Shimla,Religious,7,7,34760
Northeast,Ziro Valley,Wildlife,11,2,24068
South,Munnar,Adventure,11,1,39617
Central,Kanha National Park,Trekking,8,6,4426
West,Udaipur,Desert,14,4,26916
Central,Khajuraho,Urban/City,9,11,10041
South,Mysore,Beach,4,10,8662
West,Dwarka,Urban/City,11,11,47151
Central,Gwalior,Desert,3,3,48671
South,Kodaikanal,Desert,14,11,29617
East,Puri,Wildlife,2,6,28775
West,Ahmedabad,Religious,12,4,34382
North,Manali,Hidden Gem,10,7,7450
Central,Bandhavgarh,Wildlife,3,7,24762
North,Dalhousie,Hill Station,3,3,5000
East,Sundarbans,Urban/City,7,11,17660
South,Munnar,Trekking,12,12,28395
South,Hampi,Urban/City,9,3,46406
West,Udaipur,Hill Station,7,8,19176
West,Mumbai,Wildlife,12,3,28723
East,Kolkata,Wildlife,4,1,52504
North,Leh,Hill Station,3,12,30958
East,Kolkata,Wildlife,14,9,58477
East,Bodh Gaya,Religious,8,10,29010
North,Agra,Hidden Gem,10,9,5528
East,Guwahati,Urban/City,14,7,55887
West,Mount Abu,Desert,11,4,40769
North,Nainital,Desert,10,5,24340
Central,Gwalior,Urban/City,11,1,41171
Central,Bhopal,Wildlife,15,12,50241
West,Ahmedabad,Trekking,5,12,31119
South,Munnar,Hill Station,15,12,20168
South,Pondicherry,Hidden Gem,5,7,23698
East,Puri,Religious,10,9,44503
Northeast,Cherrapunji,Urban/City,10,11,26364
West,Somnath,Historical,5,3,29920
West,Jaisalmer,Hill Station,15,9,55200
North,Leh,Adventure,3,8,22084
East,Darjeeling,Hidden Gem,2,5,44027
South,Goa,Hidden Gem,10,10,49605
West,Jaisalmer,Religious,4,11,12777
East,Kolkata,Trekking,3,4,48905
East,Sundarbans,Religious,15,11,44627
South,Ooty,Historical,7,1,27751
North,Jaipur,Beach,11,2,41388
West,Mount Abu,Historical,4,2,31226
Northeast,Ziro Valley,Trekking,14,4,35204
Central,Sanchi,Historical,8,7,49572
West,Rann of Kutch,Wildlife,15,12,8264
Northeast,Aizawl,Adventure,7,7,20005
South,Kochi,Hidden Gem,4,3,38638
East,Guwahati,Religious,7,7,17096
East,Bodh Gaya,Trekking,15,2,27360
North,Dalhousie,Adventure,6,2,44720
South,Alleppey,Hidden Gem,14,11,54308
North,Shimla,Hill Station,5,1,17905
West,Mount Abu,Hill Station,9,1,48647
West,Ahmedabad,Hill Station,13,10,48249
Central,Khajuraho,Religious,13,10,36656
Northeast,Imphal,Urban/City,9,8,4846
North,Jaipur,Trekking,15,3,37818
West,Dwarka,Urban/City,9,11,26591
Central,Pachmarhi,Adventure,2,1,15569
North,Kullu,Historical,4,4,46149
